CATEGORY	URI	RELEVANT
PROHIBITIONS	http://www.w3.org/ns/odrl/2/index	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/index	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/inform	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/inform	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/inform	YES
PERMISSIONS	http://www.w3.org/ns/odrl/2/install	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/install	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/install	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/modify	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/modify	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/modify	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/move	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/move	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/move	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/nextPolicy	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/nextPolicy	YES
OBLIGATIONS	http://www.w3.org/ns/odrl/2/nextPolicy	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/obtainConsent	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/obtainConsent	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/obtainConsent	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/play	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/play	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/play	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/present	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/present	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/present	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/print	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/print	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/print	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/read	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/read	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/read	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/reproduce	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/reproduce	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/reproduce	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/reviewPolicy	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/reviewPolicy	YES
OBLIGATIONS	http://www.w3.org/ns/odrl/2/reviewPolicy	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/sell	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/sell	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/sell	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/sourceCode	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/sourceCode	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/sourceCode	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/stream	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/stream	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/stream	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/synchronize	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/synchronize	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/synchronize	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/textToSpeech	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/textToSpeech	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/textToSpeech	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/transform	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/transform	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/transform	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/translate	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/translate	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/translate	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/uninstall	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/uninstall	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/uninstall	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/use	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/use	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/use	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/watermark	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/watermark	YES
OBLIGATIONS	http://www.w3.org/ns/odrl/2/watermark	NO
